epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,26594,0.17461,0.41811,0.01642,0.8295,0.75793,0.79395,0.62366,0.23785,0.73184,0.02956,0.000494885,0.000494885,0.000494885
43,27221.4,0.16624,0.40613,0.01471,0.82197,0.81371,0.82731,0.66073,0.23617,0.66757,0.02725,0.000486639,0.000486639,0.000486639
44,27846.4,0.1753,0.40617,0.0139,0.83385,0.85351,0.85079,0.67514,0.23015,0.61731,0.02807,0.000478392,0.000478392,0.000478392
45,28474.8,0.16163,0.3759,0.0123,0.89818,0.78345,0.8322,0.65597,0.23332,0.66732,0.02809,0.000470145,0.000470145,0.000470145
46,29100.9,0.15558,0.35134,0.01244,0.85711,0.78701,0.80839,0.63809,0.23692,0.70479,0.02843,0.000461898,0.000461898,0.000461898
47,29727.1,0.15363,0.35708,0.01122,0.88472,0.8106,0.82456,0.6591,0.23761,0.67033,0.03188,0.000453652,0.000453652,0.000453652
48,30351.4,0.14246,0.32624,0.01046,0.87662,0.83272,0.84032,0.66439,0.2256,0.69836,0.02658,0.000445405,0.000445405,0.000445405
49,30979.5,0.1513,0.34062,0.01212,0.86689,0.82807,0.82054,0.64734,0.22805,0.65051,0.02608,0.000437158,0.000437158,0.000437158
50,31606.1,0.15813,0.34811,0.01174,0.87834,0.80492,0.80817,0.63281,0.24474,0.63725,0.03033,0.000428912,0.000428912,0.000428912
51,32229.5,0.1482,0.33891,0.0119,0.84612,0.80286,0.82696,0.65392,0.24847,0.64759,0.03253,0.000420665,0.000420665,0.000420665
52,32848.6,0.14327,0.32728,0.01016,0.85855,0.69461,0.72258,0.58388,0.23933,0.81669,0.0339,0.000412418,0.000412418,0.000412418
53,33474.3,0.1454,0.34762,0.0112,0.90527,0.7535,0.81312,0.63781,0.24409,0.68905,0.02857,0.000404172,0.000404172,0.000404172
54,34103,0.17133,0.39139,0.01326,0.87095,0.78452,0.80396,0.61915,0.26551,0.65163,0.03506,0.000395925,0.000395925,0.000395925
55,34731.5,0.15776,0.36044,0.01277,0.87173,0.78569,0.8321,0.67594,0.22639,0.66957,0.02673,0.000387678,0.000387678,0.000387678
56,35360.2,0.15901,0.34478,0.01321,0.87746,0.77171,0.80518,0.65778,0.25208,0.7061,0.03363,0.000379431,0.000379431,0.000379431
57,35986,0.14573,0.30946,0.01091,0.87243,0.76841,0.79506,0.64057,0.22998,0.6583,0.02787,0.000371185,0.000371185,0.000371185
58,36613.6,0.14666,0.31363,0.01218,0.85467,0.79885,0.81903,0.63608,0.23702,0.65395,0.02802,0.000362938,0.000362938,0.000362938
59,37241.6,0.14567,0.30421,0.01114,0.91608,0.75763,0.77126,0.62079,0.22408,0.73862,0.02488,0.000354691,0.000354691,0.000354691
60,37867.4,0.13384,0.32163,0.00989,0.87677,0.79982,0.83258,0.65583,0.24321,0.65621,0.03124,0.000346445,0.000346445,0.000346445
61,38490.1,0.14329,0.35075,0.01169,0.85486,0.74754,0.75337,0.59754,0.24238,0.74225,0.02913,0.000338198,0.000338198,0.000338198
62,39118.4,0.14732,0.32186,0.0121,0.88192,0.77985,0.81286,0.64489,0.225,0.6446,0.0272,0.000329951,0.000329951,0.000329951
63,39747.6,0.13648,0.29984,0.00973,0.87532,0.74475,0.7971,0.63803,0.23809,0.70097,0.02907,0.000321705,0.000321705,0.000321705
64,40373.3,0.1417,0.29541,0.01106,0.88053,0.76304,0.78063,0.62591,0.23575,0.73794,0.03102,0.000313458,0.000313458,0.000313458
65,41000.4,0.14207,0.29468,0.0104,0.87165,0.78983,0.81582,0.64189,0.24022,0.78104,0.03007,0.000305211,0.000305211,0.000305211
66,41625.5,0.14655,0.31257,0.01146,0.88096,0.78744,0.80187,0.64236,0.2429,0.64072,0.03454,0.000296964,0.000296964,0.000296964
67,42248.9,0.14081,0.30197,0.01201,0.87366,0.78376,0.79484,0.63216,0.23689,0.71879,0.03002,0.000288718,0.000288718,0.000288718
68,42875,0.14361,0.29313,0.01231,0.88141,0.76049,0.7964,0.63778,0.23428,0.6468,0.02807,0.000280471,0.000280471,0.000280471
69,43616.7,0.13271,0.28614,0.00929,0.88362,0.80868,0.84254,0.66982,0.23548,0.67824,0.02951,0.000272224,0.000272224,0.000272224
70,44244,0.1397,0.29955,0.01033,0.87225,0.79768,0.81699,0.65157,0.23919,0.65342,0.02911,0.000263978,0.000263978,0.000263978
71,44873.1,0.13203,0.28519,0.00943,0.87252,0.79347,0.78968,0.62968,0.23294,0.69398,0.02922,0.000255731,0.000255731,0.000255731
