epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,9271.93,0.22569,0.46851,0.0431,0.55634,0.35175,0.25692,0.19961,0.30301,1.24138,0.02455,0.000404375,0.000404375,0.000404375
43,9500.72,0.20488,0.42297,0.02846,0.53322,0.3375,0.24152,0.18306,0.35176,1.38031,0.02914,0.00038375,0.00038375,0.00038375
44,9731.24,0.208,0.4665,0.03724,0.52009,0.36827,0.22553,0.17124,0.34249,1.48903,0.02984,0.000363125,0.000363125,0.000363125
45,9962.82,0.24823,0.46781,0.03847,0.54916,0.41644,0.24284,0.18778,0.31217,1.25456,0.02591,0.0003425,0.0003425,0.0003425
46,10195.9,0.2462,0.43347,0.03594,0.54967,0.33422,0.23551,0.18761,0.34601,1.2382,0.02961,0.000321875,0.000321875,0.000321875
47,10428.4,0.21052,0.45378,0.02798,0.29784,0.34788,0.24603,0.19683,0.37381,1.27425,0.03294,0.00030125,0.00030125,0.00030125
48,10658.6,0.2088,0.37919,0.03565,0.56476,0.32545,0.27342,0.21574,0.32465,1.2414,0.02805,0.000280625,0.000280625,0.000280625
49,10889.9,0.20712,0.369,0.03077,0.56689,0.318,0.27635,0.22033,0.33006,1.26876,0.02914,0.00026,0.00026,0.00026
50,11123.6,0.17686,0.40026,0.02548,0.58943,0.3031,0.27155,0.21331,0.3049,1.34657,0.02553,0.000239375,0.000239375,0.000239375
51,11342.5,0.15763,0.38672,0.01699,0.64774,0.29708,0.26056,0.20871,0.30412,1.28226,0.02609,0.00021875,0.00021875,0.00021875
52,11561.2,0.1501,0.34551,0.01635,0.52116,0.37919,0.25753,0.19878,0.31122,1.24613,0.02775,0.000198125,0.000198125,0.000198125
53,11777.5,0.14449,0.31584,0.01504,0.37532,0.38491,0.25303,0.19332,0.32391,1.25417,0.02866,0.0001775,0.0001775,0.0001775
54,11992.9,0.14365,0.29682,0.01548,0.34761,0.39698,0.26716,0.20542,0.35079,1.23042,0.03249,0.000156875,0.000156875,0.000156875
55,12208.9,0.13936,0.30419,0.01495,0.37773,0.43015,0.28318,0.22308,0.35487,1.2556,0.03411,0.00013625,0.00013625,0.00013625
56,12426.9,0.13554,0.27732,0.0151,0.37326,0.40628,0.27412,0.22039,0.3422,1.33686,0.03085,0.000115625,0.000115625,0.000115625
57,12643.1,0.13071,0.2678,0.0145,0.39418,0.42972,0.26981,0.21719,0.36775,1.33171,0.03523,9.5e-05,9.5e-05,9.5e-05
58,12858.5,0.13019,0.25385,0.01382,0.41325,0.40862,0.26175,0.20751,0.37678,1.30196,0.03561,7.4375e-05,7.4375e-05,7.4375e-05
59,13074.8,0.12813,0.24672,0.0135,0.38447,0.4191,0.26114,0.2044,0.38264,1.29889,0.03612,5.375e-05,5.375e-05,5.375e-05
60,13291.1,0.12671,0.24637,0.01386,0.36748,0.43413,0.2775,0.21614,0.38791,1.27618,0.03694,3.3125e-05,3.3125e-05,3.3125e-05
