epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5161.25,1.2217,1.02374,1.78039,0.39528,0.35768,0.3225,0.24429,2.26003,4.04629,2.12736,0.000404375,0.000404375,0.000404375
43,5287.28,1.14204,0.88137,1.77029,0.49026,0.29272,0.35044,0.26138,2.21771,4.94714,2.11543,0.00038375,0.00038375,0.00038375
44,5403.2,1.10103,0.90773,1.71038,0.40999,0.34673,0.32924,0.25185,2.20704,4.57173,2.10887,0.000363125,0.000363125,0.000363125
45,5519.18,1.11889,0.92377,1.74886,0.37071,0.3276,0.31588,0.23243,2.23078,4.19073,2.12269,0.0003425,0.0003425,0.0003425
46,5636.35,1.18417,0.91816,1.81872,0.40466,0.35731,0.33308,0.24887,2.26368,4.37452,2.14295,0.000321875,0.000321875,0.000321875
47,5756.99,1.09298,0.84316,1.72459,0.38774,0.34167,0.31484,0.23295,2.24189,4.52354,2.12545,0.00030125,0.00030125,0.00030125
48,5877.42,1.05247,0.79607,1.71037,0.42699,0.33042,0.34269,0.25773,2.23022,4.25656,2.11057,0.000280625,0.000280625,0.000280625
49,5997.1,1.09053,0.83422,1.73122,0.38838,0.38459,0.33315,0.25391,2.17591,4.34764,2.08904,0.00026,0.00026,0.00026
50,6119.01,1.10192,0.81573,1.72404,0.39774,0.35889,0.36407,0.28181,2.1717,4.16489,2.09988,0.000239375,0.000239375,0.000239375
51,6238.57,0.99677,0.70223,1.67999,0.35906,0.34462,0.32794,0.24902,2.18939,4.15389,2.12479,0.00021875,0.00021875,0.00021875
52,6355.27,0.9549,0.63548,1.67442,0.36487,0.37152,0.33874,0.25697,2.22953,4.37521,2.13056,0.000198125,0.000198125,0.000198125
53,6470.51,0.91658,0.59788,1.65473,0.44328,0.35327,0.35202,0.25978,2.22674,4.52585,2.13524,0.0001775,0.0001775,0.0001775
54,6580.08,0.87367,0.55896,1.63759,0.39375,0.31578,0.32395,0.24788,2.22641,4.66787,2.13118,0.000156875,0.000156875,0.000156875
55,6691.68,0.85003,0.5377,1.63996,0.38191,0.32157,0.32361,0.24848,2.2063,4.69305,2.13202,0.00013625,0.00013625,0.00013625
56,6800.02,0.83462,0.52183,1.63103,0.4135,0.36995,0.34752,0.26591,2.18038,4.70892,2.12756,0.000115625,0.000115625,0.000115625
57,6908.94,0.83224,0.5186,1.62687,0.37359,0.33844,0.32132,0.24597,2.18082,4.76519,2.12651,9.5e-05,9.5e-05,9.5e-05
58,7016.91,0.79812,0.48913,1.61779,0.38623,0.35624,0.33048,0.25436,2.19509,4.74761,2.12907,7.4375e-05,7.4375e-05,7.4375e-05
59,7125.51,0.77941,0.48433,1.61356,0.3759,0.35151,0.3255,0.24903,2.17107,4.77019,2.12215,5.375e-05,5.375e-05,5.375e-05
60,7234.2,0.75375,0.47509,1.61119,0.36768,0.33492,0.31981,0.24511,2.18561,4.81462,2.12957,3.3125e-05,3.3125e-05,3.3125e-05
