epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,8603.28,0.1377,0.27419,0.01395,0.44094,0.49517,0.39152,0.30764,0.31467,1.2444,0.02815,0.000615781,0.000615781,0.000615781
43,8802.05,0.13076,0.26303,0.01174,0.41256,0.54565,0.37797,0.29566,0.30497,1.24414,0.02576,0.000600313,0.000600313,0.000600313
44,9004.4,0.13416,0.27552,0.01141,0.42635,0.52086,0.37249,0.28666,0.32151,1.31612,0.03047,0.000584844,0.000584844,0.000584844
45,9211.95,0.14867,0.2695,0.0143,0.41809,0.553,0.36894,0.29084,0.36867,1.36636,0.03934,0.000569375,0.000569375,0.000569375
46,9411.68,0.14599,0.29739,0.01405,0.42407,0.54584,0.39255,0.30901,0.35312,1.34358,0.03336,0.000553906,0.000553906,0.000553906
47,9616.46,0.14375,0.26887,0.01296,0.4771,0.49178,0.4067,0.32036,0.34653,1.25358,0.03678,0.000538438,0.000538438,0.000538438
48,9820.2,0.14196,0.27827,0.01251,0.45676,0.51092,0.40833,0.31622,0.32658,1.24122,0.02934,0.000522969,0.000522969,0.000522969
49,10027.6,0.12506,0.2415,0.01087,0.44736,0.51764,0.39921,0.31237,0.32619,1.26251,0.03389,0.0005075,0.0005075,0.0005075
50,10234.7,0.11101,0.22803,0.0104,0.42933,0.56201,0.40941,0.32383,0.3886,1.25956,0.0415,0.000492031,0.000492031,0.000492031
51,10433.5,0.1207,0.23395,0.01081,0.4528,0.54138,0.40636,0.31852,0.47664,1.25961,0.05196,0.000476562,0.000476562,0.000476562
52,10630.5,0.1271,0.25441,0.01426,0.42924,0.53974,0.40231,0.31677,0.34882,1.3364,0.03468,0.000461094,0.000461094,0.000461094
53,10825.5,0.12309,0.24781,0.01133,0.45475,0.50089,0.41439,0.33109,0.34101,1.2805,0.03183,0.000445625,0.000445625,0.000445625
54,11019.6,0.12539,0.22806,0.01321,0.425,0.56795,0.42548,0.3359,0.33638,1.29114,0.03018,0.000430156,0.000430156,0.000430156
55,11217.3,0.11303,0.25811,0.01047,0.42912,0.57225,0.40707,0.32622,0.31865,1.29492,0.03533,0.000414688,0.000414688,0.000414688
56,11412.7,0.11153,0.22956,0.01038,0.43361,0.4953,0.3896,0.30893,0.37015,1.30146,0.03655,0.000399219,0.000399219,0.000399219
57,11610.7,0.13506,0.25635,0.01278,0.40336,0.53375,0.37555,0.28848,0.37355,1.27388,0.03445,0.00038375,0.00038375,0.00038375
58,11812.1,0.13539,0.26697,0.01206,0.42864,0.54086,0.39611,0.30473,0.34422,1.36279,0.03226,0.000368281,0.000368281,0.000368281
59,12013.1,0.12883,0.23058,0.01124,0.43516,0.5423,0.38787,0.30347,0.32935,1.35932,0.03117,0.000352812,0.000352812,0.000352812
60,12213.9,0.13177,0.23612,0.01202,0.4396,0.52743,0.38409,0.30633,0.30983,1.31533,0.02725,0.000337344,0.000337344,0.000337344
61,12414.6,0.11677,0.23357,0.01053,0.41964,0.49569,0.36907,0.28908,0.32487,1.33254,0.02906,0.000321875,0.000321875,0.000321875
62,12616.9,0.12562,0.25614,0.01077,0.41501,0.54801,0.35881,0.28347,0.32152,1.44761,0.03034,0.000306406,0.000306406,0.000306406
63,12819.7,0.12044,0.2308,0.00998,0.4173,0.49601,0.36466,0.28844,0.34651,1.37964,0.03186,0.000290937,0.000290937,0.000290937
64,13033,0.11162,0.21446,0.00935,0.41945,0.50058,0.37162,0.30225,0.30962,1.37335,0.03303,0.000275469,0.000275469,0.000275469
65,13244.3,0.12129,0.21859,0.01311,0.40191,0.53647,0.36854,0.29799,0.33227,1.39665,0.03473,0.00026,0.00026,0.00026
66,13443.6,0.11645,0.21063,0.00924,0.40531,0.56464,0.38384,0.30829,0.34366,1.40353,0.03688,0.000244531,0.000244531,0.000244531
67,13642.1,0.09739,0.21424,0.00845,0.44432,0.52598,0.40076,0.31957,0.42221,1.3684,0.04778,0.000229063,0.000229063,0.000229063
68,13842,0.09534,0.20748,0.00869,0.45967,0.51072,0.3913,0.31577,0.39352,1.40216,0.03918,0.000213594,0.000213594,0.000213594
69,14045.7,0.10264,0.20658,0.00924,0.439,0.52153,0.39553,0.31682,0.38753,1.42587,0.03822,0.000198125,0.000198125,0.000198125
70,14254,0.10306,0.21436,0.01481,0.42035,0.50662,0.38699,0.31201,0.34786,1.43148,0.03537,0.000182656,0.000182656,0.000182656
71,14439.4,0.09238,0.17786,0.00879,0.40469,0.51879,0.36611,0.29546,0.35624,1.3958,0.04248,0.000167188,0.000167188,0.000167188
72,14622.4,0.08418,0.1672,0.00791,0.40349,0.50494,0.36688,0.29617,0.33806,1.45023,0.0344,0.000151719,0.000151719,0.000151719
73,14802.8,0.08104,0.16262,0.00747,0.41128,0.50951,0.37596,0.30521,0.3405,1.45263,0.03414,0.00013625,0.00013625,0.00013625
74,14983.9,0.07823,0.16221,0.00744,0.40981,0.50635,0.38159,0.30912,0.35323,1.454,0.0375,0.000120781,0.000120781,0.000120781
75,15172.8,0.07608,0.15569,0.00699,0.43501,0.44851,0.38237,0.30783,0.34205,1.51012,0.04177,0.000105312,0.000105312,0.000105312
76,15364,0.07471,0.1516,0.00681,0.43364,0.46815,0.3803,0.30829,0.36983,1.49313,0.04553,8.98437e-05,8.98437e-05,8.98437e-05
77,15545.7,0.07015,0.1467,0.0064,0.43482,0.46798,0.38592,0.31321,0.37118,1.50278,0.04508,7.4375e-05,7.4375e-05,7.4375e-05
78,15726.6,0.06908,0.14375,0.00627,0.43893,0.45908,0.38206,0.30816,0.38936,1.48572,0.04746,5.89062e-05,5.89062e-05,5.89062e-05
79,15907.2,0.0657,0.13863,0.00611,0.43215,0.47151,0.38412,0.31041,0.37903,1.50363,0.046,4.34375e-05,4.34375e-05,4.34375e-05
80,16089.6,0.06549,0.13779,0.00632,0.44531,0.46404,0.38744,0.31232,0.39061,1.4779,0.04767,2.79687e-05,2.79687e-05,2.79687e-05
