epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4011.35,0.55322,0.4332,0.82527,0.5293,0.53022,0.47233,0.37433,1.03021,1.83804,0.97048,0.000615781,0.000615781,0.000615781
43,4105.7,0.50004,0.4088,0.80144,0.45555,0.52616,0.43932,0.35603,1.02308,2.14329,0.96492,0.000600313,0.000600313,0.000600313
44,4200.81,0.5015,0.40388,0.78715,0.46797,0.54297,0.43048,0.33881,1.03675,1.89411,0.96937,0.000584844,0.000584844,0.000584844
45,4295.33,0.50076,0.40339,0.8031,0.40477,0.52451,0.40287,0.31823,1.04816,1.92251,0.97351,0.000569375,0.000569375,0.000569375
46,4388.82,0.50758,0.42102,0.82646,0.44942,0.57364,0.45323,0.35781,1.06611,2.08281,0.97871,0.000553906,0.000553906,0.000553906
47,4483.43,0.48236,0.39514,0.79692,0.56063,0.50738,0.48203,0.37426,1.03052,1.97906,0.97288,0.000538438,0.000538438,0.000538438
48,4577.12,0.48784,0.39599,0.80655,0.46812,0.53754,0.46497,0.36439,1.02801,1.84347,0.96769,0.000522969,0.000522969,0.000522969
49,4672.16,0.50739,0.39851,0.8075,0.45758,0.57908,0.44265,0.35429,1.0129,1.85283,0.96409,0.0005075,0.0005075,0.0005075
50,4766.8,0.47931,0.37722,0.80413,0.43529,0.56341,0.4323,0.34902,0.97676,1.80052,0.94964,0.000492031,0.000492031,0.000492031
51,4861.79,0.46399,0.3711,0.78274,0.4278,0.55764,0.41116,0.32541,1.0026,1.76679,0.9522,0.000476562,0.000476562,0.000476562
52,4957.71,0.4655,0.35682,0.79131,0.42274,0.45146,0.36876,0.29476,1.01571,1.89147,0.96438,0.000461094,0.000461094,0.000461094
53,5127.61,0.46751,0.38688,0.80495,0.47808,0.49311,0.41856,0.3334,1.00714,1.82689,0.95665,0.000445625,0.000445625,0.000445625
54,5272.55,0.4445,0.35538,0.77861,0.42997,0.59633,0.43448,0.33807,1.02548,1.84468,0.96167,0.000430156,0.000430156,0.000430156
55,5368.87,0.44441,0.3664,0.8049,0.47992,0.55611,0.44262,0.35136,0.99742,1.88292,0.9592,0.000414688,0.000414688,0.000414688
56,5463.79,0.45804,0.35616,0.79941,0.45784,0.57565,0.41693,0.32329,1.0324,1.98874,0.96772,0.000399219,0.000399219,0.000399219
57,5558.71,0.43173,0.35068,0.78412,0.45582,0.54795,0.43095,0.34165,1.00221,2.01226,0.96434,0.00038375,0.00038375,0.00038375
58,5653.46,0.42845,0.33652,0.80581,0.43367,0.5476,0.42485,0.33933,1.01297,1.91459,0.96353,0.000368281,0.000368281,0.000368281
59,5748.93,0.42592,0.33297,0.78736,0.39914,0.53403,0.39421,0.31011,1.0412,1.87649,0.96741,0.000352812,0.000352812,0.000352812
60,5844.33,0.4479,0.34696,0.78849,0.3786,0.52367,0.39552,0.31773,1.0033,1.87206,0.95937,0.000337344,0.000337344,0.000337344
61,5938.66,0.40903,0.32387,0.78186,0.38978,0.53782,0.39833,0.31734,1.02351,1.83321,0.96089,0.000321875,0.000321875,0.000321875
62,6035,0.44318,0.33739,0.7791,0.4134,0.58855,0.41209,0.33012,0.99441,1.81495,0.95714,0.000306406,0.000306406,0.000306406
63,6129.82,0.41333,0.33032,0.79076,0.45569,0.56644,0.44089,0.35519,0.99696,1.83682,0.95388,0.000290937,0.000290937,0.000290937
64,6225.6,0.39432,0.30111,0.76518,0.51792,0.51065,0.46004,0.36375,0.9864,1.86091,0.95398,0.000275469,0.000275469,0.000275469
65,6320.06,0.41187,0.31551,0.77842,0.50523,0.56691,0.45118,0.35955,0.98268,1.78737,0.95429,0.00026,0.00026,0.00026
66,6416.13,0.3967,0.30828,0.77999,0.49298,0.56324,0.44203,0.35497,0.99279,1.76441,0.96196,0.000244531,0.000244531,0.000244531
67,6509.62,0.3885,0.30235,0.77382,0.46826,0.5684,0.44111,0.35097,0.99598,1.83886,0.96418,0.000229063,0.000229063,0.000229063
68,6604.13,0.38545,0.30482,0.77538,0.44448,0.60075,0.43832,0.34586,0.98974,1.82214,0.95654,0.000213594,0.000213594,0.000213594
69,6697.88,0.37824,0.30292,0.7735,0.48262,0.55442,0.44447,0.35291,0.98239,1.78359,0.95544,0.000198125,0.000198125,0.000198125
70,6791.86,0.38293,0.31502,0.77726,0.47467,0.54335,0.43271,0.33887,0.99241,1.88162,0.9583,0.000182656,0.000182656,0.000182656
71,6876.89,0.38177,0.27883,0.78005,0.43843,0.56453,0.4167,0.33748,0.98373,1.91784,0.95969,0.000167188,0.000167188,0.000167188
72,6960.14,0.36203,0.27527,0.77736,0.40072,0.61993,0.41648,0.33115,0.99278,1.91272,0.95806,0.000151719,0.000151719,0.000151719
73,7041.83,0.35632,0.26381,0.77551,0.46998,0.51466,0.42023,0.33841,0.97727,1.90263,0.95577,0.00013625,0.00013625,0.00013625
74,7123.86,0.32609,0.25108,0.77231,0.4485,0.52748,0.4192,0.33475,0.98571,1.8829,0.95739,0.000120781,0.000120781,0.000120781
75,7205.4,0.31306,0.24071,0.77002,0.41411,0.59994,0.42467,0.34216,0.97302,1.90987,0.95564,0.000105312,0.000105312,0.000105312
76,7286.59,0.3055,0.23652,0.76895,0.42049,0.58887,0.42176,0.34406,0.97568,1.91465,0.95661,8.98437e-05,8.98437e-05,8.98437e-05
77,7368.47,0.29922,0.23192,0.76772,0.41894,0.60554,0.42524,0.34832,0.97568,1.89104,0.95658,7.4375e-05,7.4375e-05,7.4375e-05
78,7449.57,0.2895,0.22598,0.76642,0.418,0.61017,0.42987,0.35214,0.96948,1.90291,0.95637,5.89062e-05,5.89062e-05,5.89062e-05
79,7531.41,0.28724,0.22026,0.7652,0.41341,0.61345,0.43083,0.35085,0.97015,1.91568,0.95718,4.34375e-05,4.34375e-05,4.34375e-05
80,7612.76,0.28565,0.22402,0.76536,0.41291,0.6347,0.42942,0.34798,0.97667,1.91583,0.95675,2.79687e-05,2.79687e-05,2.79687e-05
