epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,4782.39,0.20984,0.48847,0.02566,0.86684,0.55768,0.57292,0.45703,0.26301,0.73297,0.03957,0.000410357,0.000410357,0.000410357
43,4894.77,0.19421,0.53679,0.02416,0.8175,0.56494,0.56639,0.45571,0.2429,0.71345,0.03648,0.000400048,0.000400048,0.000400048
44,5006.28,0.19556,0.46949,0.02433,0.87832,0.56773,0.5827,0.46444,0.25907,0.72635,0.04006,0.00038974,0.00038974,0.00038974
45,5118.54,0.15939,0.44912,0.02152,0.77142,0.59152,0.59957,0.48527,0.24844,0.71233,0.04077,0.000379431,0.000379431,0.000379431
46,5232.21,0.1675,0.4428,0.02281,0.69967,0.57588,0.56742,0.45913,0.25247,0.70825,0.03953,0.000369123,0.000369123,0.000369123
47,5343.75,0.18759,0.46461,0.02718,0.86787,0.54324,0.54926,0.44049,0.27319,0.74252,0.0454,0.000358815,0.000358815,0.000358815
48,5455.66,0.16983,0.46804,0.01993,0.84695,0.54716,0.54936,0.43903,0.26971,0.70878,0.04511,0.000348506,0.000348506,0.000348506
49,5567.96,0.18474,0.49209,0.02229,0.85572,0.55717,0.58799,0.47343,0.27396,0.67417,0.04337,0.000338198,0.000338198,0.000338198
50,5679.76,0.17365,0.44753,0.02136,0.86807,0.55778,0.56277,0.45106,0.24463,0.74343,0.03646,0.00032789,0.00032789,0.00032789
51,5790.8,0.18727,0.47408,0.0296,0.84203,0.53525,0.55308,0.44876,0.25488,0.77617,0.0356,0.000317581,0.000317581,0.000317581
52,5904.09,0.19623,0.49881,0.02524,0.87551,0.56629,0.56736,0.44734,0.24757,0.82983,0.0389,0.000307273,0.000307273,0.000307273
53,6016.17,0.17478,0.48264,0.02125,0.83123,0.54933,0.55805,0.44216,0.25935,0.76125,0.04362,0.000296964,0.000296964,0.000296964
54,6126.29,0.1679,0.43299,0.02313,0.90091,0.56917,0.59575,0.49166,0.24428,0.65296,0.03715,0.000286656,0.000286656,0.000286656
55,6240.42,0.1637,0.42603,0.01962,0.80539,0.59285,0.56926,0.46501,0.23254,0.83376,0.0353,0.000276348,0.000276348,0.000276348
56,6351.89,0.1607,0.47243,0.02055,0.83518,0.56796,0.56255,0.4641,0.2264,0.76022,0.03565,0.000266039,0.000266039,0.000266039
57,6462.57,0.16707,0.39117,0.02158,0.83333,0.5788,0.55711,0.45463,0.23935,0.78085,0.03666,0.000255731,0.000255731,0.000255731
58,6574.67,0.17069,0.38368,0.01925,0.8015,0.59137,0.55902,0.45087,0.23918,0.86921,0.03512,0.000245423,0.000245423,0.000245423
59,6686.95,0.14951,0.40717,0.01797,0.81717,0.53316,0.54189,0.44242,0.24006,0.8844,0.03955,0.000235114,0.000235114,0.000235114
60,6796.37,0.15767,0.33143,0.01978,0.82661,0.56341,0.55564,0.45728,0.23587,0.83085,0.0388,0.000224806,0.000224806,0.000224806
61,6905.44,0.14718,0.36829,0.01973,0.84824,0.55733,0.55853,0.47307,0.23009,0.85079,0.03881,0.000214497,0.000214497,0.000214497
62,7016.17,0.15004,0.36586,0.01751,0.84379,0.57672,0.57304,0.47763,0.23209,0.82474,0.03535,0.000204189,0.000204189,0.000204189
63,7125.89,0.1603,0.37204,0.01977,0.86199,0.57643,0.56575,0.4741,0.2883,0.7902,0.05569,0.000193881,0.000193881,0.000193881
64,7236.03,0.15395,0.36324,0.01851,0.83693,0.58281,0.57008,0.48235,0.27686,0.81529,0.05235,0.000183572,0.000183572,0.000183572
65,7346.25,0.15075,0.43126,0.01811,0.83922,0.53032,0.55264,0.44476,0.25453,0.80057,0.03743,0.000173264,0.000173264,0.000173264
