epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3970.75,1.0266,2.99896,1.62957,0.27944,0.29189,0.25014,0.1942,2.09374,3.43595,1.96151,0.000404375,0.000404375,0.000404375
43,4062.29,0.92212,2.89226,1.60408,0.26314,0.30385,0.23924,0.19021,2.05637,3.61047,1.95634,0.00038375,0.00038375,0.00038375
44,4154.38,0.93286,2.79088,1.56077,0.28513,0.28836,0.24843,0.19628,2.01989,3.57353,1.9524,0.000363125,0.000363125,0.000363125
45,4246.46,0.97115,2.76767,1.61994,0.27815,0.29329,0.25036,0.1978,2.02762,3.79392,1.96241,0.0003425,0.0003425,0.0003425
46,4338.88,0.98347,2.67205,1.65038,0.27913,0.32344,0.25606,0.20158,2.04771,3.59109,1.95351,0.000321875,0.000321875,0.000321875
47,4431.09,0.92543,2.63131,1.59925,0.26079,0.34554,0.25024,0.19327,2.06235,3.78231,1.96484,0.00030125,0.00030125,0.00030125
48,4521.72,0.92165,2.61713,1.60715,0.26902,0.32075,0.25159,0.19905,2.05499,3.45225,1.95152,0.000280625,0.000280625,0.000280625
49,4613,0.94541,2.60895,1.63156,0.26618,0.33305,0.2581,0.20353,2.05977,3.5911,1.96472,0.00026,0.00026,0.00026
50,4704.68,0.93253,2.55132,1.60376,0.26629,0.32251,0.25726,0.20016,2.03537,3.46624,1.951,0.000239375,0.000239375,0.000239375
51,4784.55,0.843,2.81472,1.56653,0.25951,0.33269,0.25287,0.19825,2.03213,3.7085,1.95598,0.00021875,0.00021875,0.00021875
52,4861.05,0.79664,2.71807,1.55685,0.26232,0.33321,0.25447,0.20178,1.99882,3.80935,1.94942,0.000198125,0.000198125,0.000198125
53,4936.83,0.76425,2.68386,1.54766,0.28742,0.28344,0.25478,0.20002,2.03395,3.72458,1.95875,0.0001775,0.0001775,0.0001775
54,5012.61,0.74718,2.62064,1.53994,0.27459,0.31949,0.25408,0.2002,2.01249,3.82676,1.95192,0.000156875,0.000156875,0.000156875
55,5088.46,0.70339,2.55881,1.53554,0.5456,0.29819,0.25723,0.20293,2.01939,3.79843,1.95441,0.00013625,0.00013625,0.00013625
56,5164.74,0.70043,2.51942,1.53222,0.53809,0.30943,0.25506,0.20363,2.01092,3.73562,1.95469,0.000115625,0.000115625,0.000115625
57,5240.91,0.66559,2.48049,1.52898,0.40082,0.3267,0.3202,0.25607,2.02167,3.70447,1.95851,9.5e-05,9.5e-05,9.5e-05
58,5316.87,0.66904,2.46978,1.52524,0.39429,0.3267,0.32102,0.25521,2.02626,3.72763,1.95791,7.4375e-05,7.4375e-05,7.4375e-05
59,5393.18,0.63753,2.43638,1.52282,0.43501,0.33636,0.33982,0.253,2.01018,3.78819,1.95423,5.375e-05,5.375e-05,5.375e-05
60,5469.46,0.60507,2.40453,1.52258,0.43191,0.33408,0.33879,0.25378,2.01174,3.92201,1.95384,3.3125e-05,3.3125e-05,3.3125e-05
