epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4802.46,1.20389,0.93589,1.7522,0.39935,0.3803,0.33557,0.26867,2.19604,4.21926,2.07568,0.000615781,0.000615781,0.000615781
43,4913.48,1.13518,0.86013,1.7439,0.43391,0.34798,0.35543,0.28659,2.14445,4.21289,2.05624,0.000600313,0.000600313,0.000600313
44,5025.36,1.14612,0.82283,1.70575,0.4014,0.43663,0.38783,0.30034,2.23349,3.76178,2.06089,0.000584844,0.000584844,0.000584844
45,5136.78,1.17684,0.81946,1.7445,0.49829,0.42574,0.44221,0.34096,2.2154,3.88531,2.07094,0.000569375,0.000569375,0.000569375
46,5249.4,1.19704,0.87368,1.79737,0.41466,0.40032,0.36187,0.28142,2.21502,4.32653,2.07779,0.000553906,0.000553906,0.000553906
47,5360.41,1.11657,0.8092,1.71647,0.39891,0.36693,0.34777,0.27366,2.24699,4.3052,2.09533,0.000538438,0.000538438,0.000538438
48,5471.44,1.06792,0.75651,1.69707,0.42944,0.36571,0.35855,0.28953,2.25694,4.27877,2.09732,0.000522969,0.000522969,0.000522969
49,5582.96,1.12243,0.80863,1.7234,0.38925,0.38917,0.34102,0.26628,2.24563,4.50737,2.10527,0.0005075,0.0005075,0.0005075
50,5694.81,1.12237,0.85152,1.7133,0.57112,0.3958,0.37825,0.28456,2.22803,4.26161,2.11792,0.000492031,0.000492031,0.000492031
51,5806.34,1.07195,0.75222,1.67452,0.49531,0.40393,0.42396,0.32287,2.22545,4.28047,2.1064,0.000476562,0.000476562,0.000476562
52,5918.84,1.01678,0.70067,1.69813,0.48536,0.37382,0.3739,0.30441,2.24658,4.6839,2.09212,0.000461094,0.000461094,0.000461094
53,6030.67,1.04292,0.73059,1.72541,0.65183,0.39067,0.47887,0.38593,2.2438,4.75018,2.04908,0.000445625,0.000445625,0.000445625
54,6142.51,1.02344,0.68186,1.6742,0.50678,0.4138,0.42516,0.33141,2.23596,4.69379,2.07548,0.000430156,0.000430156,0.000430156
55,6254.25,1.00229,0.72457,1.69698,0.50866,0.38676,0.4179,0.31307,2.18323,4.32673,2.05727,0.000414688,0.000414688,0.000414688
56,6365.39,1.03005,0.74513,1.6983,0.3924,0.44603,0.38949,0.29151,2.1626,3.93027,2.06419,0.000399219,0.000399219,0.000399219
57,6476.19,0.99498,0.71071,1.64731,0.4328,0.39212,0.36348,0.27974,2.15428,4.17128,2.05261,0.00038375,0.00038375,0.00038375
58,6587.52,0.98809,0.69536,1.70873,0.40318,0.41193,0.36717,0.28499,2.16238,4.37831,2.05397,0.000368281,0.000368281,0.000368281
59,6698.95,0.96491,0.63622,1.66995,0.40898,0.42616,0.38141,0.29279,2.18977,4.48336,2.0766,0.000352812,0.000352812,0.000352812
60,6810.53,0.95545,0.67526,1.66628,0.43765,0.4041,0.36807,0.28934,2.15276,4.35987,2.06861,0.000337344,0.000337344,0.000337344
61,6921.23,0.91845,0.6583,1.64204,0.48131,0.39288,0.36892,0.28759,2.19183,4.50088,2.06594,0.000321875,0.000321875,0.000321875
62,7033.39,0.995,0.67278,1.66448,0.41123,0.44543,0.38234,0.30125,2.14029,4.22338,2.05448,0.000306406,0.000306406,0.000306406
63,7144.92,0.96304,0.65114,1.65814,0.51921,0.35685,0.36799,0.29062,2.16435,4.26016,2.06866,0.000290937,0.000290937,0.000290937
